cardTotal, Alpha(true), Alpha(false), 
4, 100.0, 0.0, 
5, 100.0, 0.0, 
6, 100.0, 0.0, 
7, 100.0, 0.0, 
8, 100.0, 0.0, 
9, 100.0, 0.0, 
10, 100.0, 0.0, 
11, 100.0, 0.0, 
12, 86.51791951752648, 13.48208048247352, 
13, 79.52811391738513, 20.471886082614876, 
14, 73.97115336327614, 26.028846636723856, 
15, 47.25314569008125, 52.74685430991875, 
16, 9.408517144890993E-4, 99.99905914828551, 
17, 9.361647201444612E-6, 99.9999906383528, 
18, 6.633938690470131E-5, 99.9999336606131, 
19, 7.013348508166928E-6, 99.99999298665149, 
20, 9.969266557163792E-5, 99.99990030733443, 
